Name,Developer,iOS Version,Android Version,Android,iOS,Last update,Category,,Color,Year of Last Update,,Categories
Propellar,Reciprocal Labs,-,5.44.0.67,1,,28-Mar-18,Management ,,,2018,,Management
My Asthma Pal,Children's Medical Center of Dallas,2.4.203,2.3.0,1,1,7-Mar-18,Management,,,2017,,Children's Game
Asthma Storylines,SELF CARE CATALYST INC,7.17,-,-,1,6-Mar-18,Management,,,2016,,Education
Peak Flow,Ben Hills,-,1.4,1,-,11-Feb-18,Management,,,2015,,Environmental Data
SaniQ Asthma,Qurasoft GmbH,2.1.8,2.2.0,1,1,1-Feb-18,Management,,,2014,,
asthmaTrack,dangerDown LLC,3.5.2,-,-,1,18-Jan-18,Management,,,2013,,
Wizdy Pets - Kids asthma game,"""LifeGuard Games, Inc.""",3.3.4,3.3.5,1,1,13-Dec-17,Children's Game/ Education,,,> 5 years old,,
e-symptoms,Stiftung aha! Allergiezentrum Schweiz,1.4,No version number,1,1,13-Dec-17,Management,,,,,
AirCasting,HabitatMap,,1.4.3,-,1,5-Dec-17,Environmental Data,,,,,
Asthma Tracker,Kantonsspital Baselland,3,3.0.0,-,1,31-Oct-17,Management,,,,,
My Asthma App,Asthma and Respiratory Foundation NZ,,1.1.4,-,1,25-Oct-17,Education,,,,,
Asthma Australia - Asthma App,Nexus Australasia Pty Limited,1.04,-,-,1,14-Sep-17,Education,,,,,
KagenAir ,"""KagenAir, LLC""",3.0.31,3.0.31,1,1,15-Aug-17,Environmental Data,,,,,
Kiss My Asthma,"""Positive Computing Lab, University of Sydney""",1.0.4,0.0.46,1,1,1-Aug-17,Management,,,,,
My Asthma Manager,"""At Point of Care, LLC""",10.0.1,-,1,-,7-Jun-17,Management,,,,,
Asthma Health Storylines,Health Storylines,-,5.4.4_10MAY2017_1,1,,10-May-17,Management,,,,,
Asthmatic - the first asthma weather forecast,Sarah Van Neyghem,1.2.0,1.1.5,1,1,17-Apr-17,Environmental Data,,,,,
AsthmaMD,"""AsthmaMD, Inc.""",3.35,1.7.10.5,1,1,10-Mar-17,Management,,,,,
How To Use Inhalers for iPad,Saralsoft,3.2.2,,,1,2-Feb-17,Education,,,,,
Breathcount | asthma control,Segfoltas,-,0.14.6,1,-,9-Jan-17,Management,,,,,
Asthma Diary,Konstantinos Anagnostakis,1.1,,1,-,13-Oct-16,Management,,,,,
ELFy Asthma,Joe Robertson,1.4,-,-,1,14-Jul-16,Management,,,,,
Medtep Asthma,Medtep Inc.,3.0.8,-,-,1,18-May-16,Management,,,,,
7 keys to manage Childhood Asthma,Chainsys,0,2.4.4,1,,27-Apr-16,Management/Education,,,,,
Peak Flow Manager ,Eduard Volkov,-,1.52,1,,7-Apr-16,Management,,,,,
My Breathefree,Cipla Digital,1.1,1.7,1,1,2-Feb-16,Management,,,,,
Asthma Test,Segfoltas,,0.8.1,-,1,29-Sep-15,Management,,,,,
Asthma Ally,OSIA Medical LLC,1.4.5100,1.2.4893,-,1,1-Jul-15,Management,,,,,
Asthma treatment,BestGreenApps,-,1,1,-,18-May-15,Education,,,,,
Asthma Explorers Club,Creative Producers Group Inc.,1.0.1,-,-,1,21-Jan-15,Education/ Environmental Data,,,,,
Asthma FAQ (FAQs in Asthma),Focus Medica India Pvt. Ltd ,1,1.1,1,1,22-Dec-14,Education,,,,,
Peakflow,Cowjumping Software,-,3.2,1,-,25-Jan-14,Management,,,,,
STAT Asthma NHLBI Guidelines,"Austin Physician Productivity, LLC",1.4,-,-,1,13-Dec-13,Education,,,,,
"The Allergy, Asthma and Sinus Center",Dr. med. Steven McManus,2,-,-,1,1-Oct-13,Environmental Data/ Education,,,,,
Asthma Logger,Androworks,-,1,1,-,15-Jul-13,Management,,,,,
Asthma Tracker & Log Free,Roving Reptiles Software,-,1.15.2,1,-,29-May-13,Management,,,,,
Kids Beating Asthma,Singular People S.L.,1,1,1,1,16-May-13,Children's Game/ Education,,,,,
Huff & Puff,Health Nuts Media,1.0.21,1.0.22,1,1,15-May-13,Children's Game/ Education,,,,,
mCARAT,MEDIDA / CINTESIS,-,1,1,-,5-Mar-12,Management,,,,,
Asthma Journal Free,Ringful LLC,1.3,-,-,1,2-Mar-10,Management,,,,,
Asthma Journal Pro,Ringful LLC,1.2,-,-,1,28-Sep-09,Management,,,,,